Index,pKa
484,8.65
485,9.55
486,10.2
487,8.94
488,9.45
489,4.11
490,7.02
491,9.8
492,7.22
493,7.235
494,7.58
495,10.7
496,9.77333
497,10.8
498,12.13
499,10.0233
500,7.6
501,9.85
502,8.21
503,10.09
504,5.48
505,10.5
506,9.02
507,8.11
508,7.9
509,10.63
510,11.01
511,8.87
512,9.1
513,8.5
514,9.6
515,11.075
516,10.79
517,3.03
518,4.03
519,4.2
520,4.22
521,1.31
522,2.2
523,2.6
524,1
525,4.71
526,4.52
527,6.68
528,7.3
529,3.38
530,3.27
531,5.69
532,3.54
533,5.36
534,5
535,6.88
536,5.03
537,6.04
538,4.4
539,8.04
540,5.2
541,7.31
542,9.99
543,4.68
544,6.34
545,7.17
546,7.45
547,4.55
548,4.68
549,6.82
550,5.09
551,2.26
552,4.8
553,9.65
554,8.11
555,9.3
556,11
557,1.82
558,3.33
559,3.86
560,2.79
561,4.88
562,4.82
563,6.45
564,6.92
565,4.63
566,4.20667
567,6.08
568,-2.08
569,4.48
570,6.14
571,8.35
572,4.68
573,3.66
574,1
575,9.89
576,7.09
577,3.8
578,10.85
579,4.67
580,3.09
581,2.69
582,3.63
583,4.64
584,0.92
585,1.16
586,2.88
587,4.2
588,10.42
589,6.76
590,2.03
591,3.66
592,4.95
593,3.8
594,3.98
595,0.37
596,1.38
597,5.17
598,5.9
599,9.21
600,9.72
601,0.9
602,5.49
603,9.1
604,0.18
605,6.8
606,6.64
607,7.04
608,4.17
609,8.495
610,4.01
611,5.77
612,6.31
613,7.65
614,-0.48
615,5.75
616,6.95
617,6.03
618,6.07
619,4.98
620,9.9
621,10.07
622,6.35
623,9.7775
624,10.6
625,9.53
626,5.75
627,10
628,7.66
629,10.74
630,7.72
631,3.65
632,8.07
633,8.13
634,8.01
635,7.32
636,7.2
637,6.7
638,4.95
639,5.09
640,4.6
641,7.55
642,8.51
643,8.3
644,9.24667
645,7.5
646,9.2
647,9.7
648,8.28
649,10.6
650,10.63
651,8.2
652,9.2
653,6.95
654,7.26
655,5.15
656,4.92
657,4.58
658,5.48
659,7.3
660,2.95
661,4.82
662,5.35
663,5.52
664,1.96
665,1.8
666,6.2
667,7.2
668,3.82
669,7
670,3.48
671,1.97
672,11.01
673,4.98
674,6.15
675,5.23
676,5.71
677,5.57
678,5.96
679,6.02
680,5.62
681,8.92
682,6.04
683,6.35
684,6.58
685,9.42
686,7.46
687,7.21
688,5.3
689,8.6
690,4.34
691,6.34
692,6.49
693,4.63
694,2.88
695,6.16
696,3.7
697,7.29
698,6.59
699,5.14
700,6.75
701,4.43
702,8.3
703,7.23
704,7.4
705,6.6
706,4.17
707,-8
708,2.85
709,1.41
710,10.46
711,3.88
712,4.62
713,4.4
714,4.3
715,8
716,8.95
717,9.12
718,4.64
719,4.32
720,4.86
721,6.91
722,6.77
723,6.99
724,6.81
725,7
726,8.85
727,8.61
728,6.23
729,7.26
730,7.85
731,7.7
732,7.71
733,6.4
734,7.8
735,9.87
736,7.83
737,8.04
738,7.72
739,7.95
740,7.92
741,8.74
742,1.08
743,9.535
744,4.97
745,6.41
746,3.96
747,8.66
748,8.17
749,7.81
750,7.82
751,12.1
752,9.3
753,8.5
754,7
755,10.57
756,9.24
757,8.3
758,8.3
759,8.6
760,11.28
761,5.22
762,7.72
763,0.65
764,0.4
765,-3.05
766,0.41
767,0.35
768,-0.61
769,-3.15
770,-2.54
771,3.97
772,3.45
773,5.78
774,8.2
775,5.6
776,4.4
777,3
778,-2.555
779,4.5
780,4.54
781,7.2
782,6.24
783,5.45
784,5.9
785,5.99
786,5.34
787,8.29
788,8.49
789,4.76
790,4.69
791,7.71
792,6.82
793,6.79
794,7.2
795,6.32
796,2.46
797,8.3
798,4.09
799,5.32
800,4.62
801,3.95
802,8.57
803,4.3
804,7.98
805,5.36
806,7.52
807,9.67
808,4.64
809,10.23
810,5.11
811,5.52
812,8.84
813,10.27
814,6.99
815,11.04
816,6.1
817,9.12
818,9.82
819,7
820,6.41
821,6.01
822,6.71
823,6.15
824,6.84
825,7.38
826,9.54
827,8.475
828,12.25
829,6.76333
830,8.97
831,3.2
832,8.6
833,7.5
834,9.82
835,7.8
836,7.6
837,6.7
838,9.25
839,7.7
840,9.7
841,5.65
842,5.96
843,9.12
844,10.13
845,4.89
846,8.96
847,8.11
848,7.7
849,9.3
850,5.52
851,10.02
852,9.23
853,11.3
854,8.1
855,10.6
856,10.61
857,7.5
858,8.1
859,0.57
860,0.02
861,0.56
862,0.58
863,0.88
864,5.7
865,1.04
866,1.05
867,1.25
868,5.66
869,-3.31
870,7.2
871,5.6
872,6.07
873,5.54
874,6.5
875,6.31
876,8.17
877,8.5
878,10.23
879,8.52
880,3.18
881,9.16
882,2.37
883,4.6
884,5.4
885,7.62
886,9.29
887,8.57
888,9.46
889,10.28
890,8.9
891,8.35
892,6.64
893,6.1
894,6.07
895,9.42
896,9.03
897,8.62
898,7.8
899,7.79
900,8.6
901,9.13
902,8.69
903,8.42
904,7.68
905,8.7
906,6.76
907,9.47
908,9.54
909,10.61
910,7.6
911,7.5
912,4.39
913,7.42
914,6.72
915,4.67
916,9.3
917,1.59
918,9.5
919,1.34
920,1.26
921,1.41
922,7.08
923,7.22
924,6.2
925,4.59
926,6.76
927,2.69
928,7.72
929,7.97
930,7.96
931,8.64
932,7.18
933,7.14
934,9.4
935,5.3
936,10.71
937,2.6
938,2.5
939,11.79
940,4.94
941,7.52
942,8.94
943,8.63
944,7.55
945,8.46
946,5.61
947,9.7
948,4.84
949,5.31
950,9.15
951,7.58
952,6.67
953,9.54
954,9.77
955,4.4
956,7.8
957,9.54
958,6.24
959,6.62
960,5.58
961,9.48
962,10.6
963,6.5
964,4.9
965,4.9
966,4.82
967,4.49
968,3.9
969,10.6
970,5
971,5.41
972,8.9
973,7.07
974,9.94
975,8.69
976,6.2
977,9.26
978,8.08
979,8.05
980,8.6
981,7.12
982,9.97
983,7.11
984,7.49
985,2.58
986,5.72
987,11.34
988,8.75
989,8.83
990,8.71
991,7.46
992,8.2
993,7.96
994,5.12
995,9.515
996,5.75
997,7
998,4.12
999,9.48
1000,5.04
1001,10.6
1002,6.4
1003,6.6
1004,4.65
1005,10.11
1006,9.1
1007,6.7
1008,3.4
1009,5.83
1010,3.41
1011,8.29
1012,7.83
1013,8.15
1014,7.9
1015,7.98
1016,7.65
1017,6.29
1018,7.25
1019,8.03
1020,6.9
1021,7.52
1022,7.3
1023,4.88
1024,8.57
1025,8.55
1026,8.51
1027,8.84
1028,9.54
1029,9.59
1030,6.2
1031,4.4
1032,2.6
1033,6.69
1034,6.23
1035,6.6
1036,7.52
1037,8.77
1038,9.89
1039,7.46
1040,5.68
1041,6.39
1042,9.55
1043,8.5
1044,7.4
1045,8.53
1046,6.47
1047,6.9
1048,9.23
1049,7.53
1050,9.95
1051,13
1052,8.71
1053,8.79
1054,4.87
1055,6.1
1056,8.4
1057,8.6
1058,9.5
1059,7.44
1060,3.2
1061,7.53
1062,7.54
1063,7.99
1064,8.07
1065,6.1
1066,6.83
1067,8.4
1068,3.59
1069,4.48
1070,8.8
1071,8.62
1072,8.07
1073,4.51
1074,9.31
1075,6.1
1076,4.65
1077,6.7
1078,8.73
1079,8.82
1080,8.79
1081,8.7
1082,8.61
1083,8.4
1084,7.73
1085,8.88
1086,4.675
1087,8.86
1088,6.98
1089,8
1090,7.57
1091,12.5
1092,7.7
1093,6.2
1094,10.6
1095,9.19
1096,2.7
1097,6.93
1098,8.68
1099,8.68
1100,5.86
1101,5.63
1102,3.12
1103,8.84
1104,8.7
1105,8.92
1106,8.91
1107,9.07
1108,8.86
1109,7.03
1110,7.17
1111,7.12
1112,4.84
1113,4.69
1114,6.54
1115,-0.92
1116,8.07
1117,8.78
1118,8.84
1119,8.92
1120,7.74
1121,9.7
1122,11
1123,5.6
1124,7.15
1125,8.9
1126,11
1127,5.6
1128,7.9
1129,10.34
1130,2.5
1131,5.37
1132,2.53
1133,-0.57
1134,7.09
1135,1.82
1136,8.54
1137,9.66
1138,8.5
1139,0.93
1140,8.49
1141,5.9
1142,0.8
1143,9.72
1144,9.83
1145,2.97
1146,10.98
1147,13.4
1148,1.2
1149,4.75
1150,9.55
1151,10.73
1152,7.95
1153,5.2
1154,7.16
1155,5.5
1156,11
1157,9.06
1158,9.09
1159,8.6
1160,8.85
1161,11
1162,4
1163,4.4
1164,7.3
1165,7.5
1166,6.64
1167,3.8
1168,3.61
1169,1.24
1170,0.61
1171,1.31
1172,2.6
1173,2.61
1174,7.07
1175,5.44
1176,9.3
1177,13.57
1178,8.19
1179,2.31
1180,4.11
1181,5.57
1182,2.34
1183,9.4
1184,7.8
1185,5.26
1186,7.75
1187,3.09
1188,3.27
1189,5.06
1190,19.13
1191,9.74
1192,11.29
1193,7.86
1194,5.91
1195,7.58
1196,9.775
1197,7.64
1198,10.22
1199,9.27
1200,6.71
1201,-1.9
1202,8.93
1203,9.89
1204,5.95
1205,1.19
1206,5.15
1207,4.77
1208,10.65
1209,9.96
1210,9.43
1211,3.65
1212,9.67
1213,10
1214,9.3
1215,10.81
1216,9.41
1217,7.55
1218,10
1219,1.55
1220,1.49
1221,9.28
1222,10.7
1223,10.56
1224,11.05
1225,10.73
1226,10.05
1227,10
1228,9.53
1229,5.62
1230,9.74
1231,9.92
1232,10.35
1233,8.8
1234,9.12
1235,9.43
1236,9.04
1237,8.48
1238,10.78
1239,7.82
1240,7.35
1241,7.63
1242,6.58
1243,6.85
1244,9.995
1245,9.24
1246,8.98
1247,2.9
1248,2.57
1249,2.33
1250,8.68
1251,1.87
1252,10.46
1253,9.17
1254,13
1255,6.7
1256,0.16
1257,0.4
1258,5.7
1259,2.83
1260,5.19
1261,3.14
1262,9.42
1263,0.28
1264,2.3
1265,3.66
1266,7.51
1267,7.97
1268,2.48
1269,6.38
1270,9
1271,6.54
1272,6.37
1273,7.26
1274,10.39
1275,9.34
1276,9.85
1277,2.39
1278,3.81
1279,5.52
1280,13.4
1281,4.59
1282,9.65
1283,6.185
1284,9.54
1285,8.875
1286,5.3
1287,7.75
1288,7.85
1289,8.1
1290,8.31
1291,7.17
1292,15.67
1293,5.69
1294,11.3
1295,5.335
1296,5.37
1297,10.96
1298,1.8
1299,1.91
1300,8
1301,8.71
1302,9.67
1303,10.16
1304,9.91
1305,10.19
1306,10.15
1307,10.48
1308,3.16
1309,6.9
1310,7.71
1311,7.2
1312,7.94
1313,7.01
1314,7.98
1315,5.23
1316,7.5
1317,11.24
1318,8.72
1319,8.9
1320,7.66
1321,9.49
1322,10.11
1323,10.6
1324,9.13
1325,9.98
1326,10.22
1327,7.8
1328,10.43
1329,10.75
1330,9.85
1331,10.78
1332,8.53
1333,8.12
1334,6.67
1335,5.8
1336,10.9
1337,8.86
1338,-1.71
1339,10.65
1340,10.89
1341,9.62
1342,10.39
1343,10.93
1344,10.3
1345,10.17
1346,13.9
1347,13.6
1348,9.76
1349,10.52
1350,8.8
1351,8.81
1352,10.9
1353,9.43
1354,9.23
1355,6.81
1356,7.14
1357,6.38
1358,7.34
1359,10.73
1360,10.99
1361,2.94
1362,0.9
1363,9.4
1364,0.72
1365,7.76
1366,2.97
1367,3.25
1368,1.82
1369,-0.7
1370,1.86
1371,8.49
1372,2.84
1373,8.43
1374,11.08
1375,0.9
1376,7.15
1377,2.77
1378,-0.53
1379,7.15
1380,4.83
1381,4.77
1382,5.26
1383,4.59
1384,5
1385,4.68
1386,3.8
1387,2.6
1388,8.2
1389,11.09
1390,11.68
1391,13
1392,-0.65
1393,3.9
1394,3.44
1395,2.28
1396,1.99
1397,3.22
1398,3.46
1399,6.95
1400,3.6
1401,3.16
1402,1.84
1403,2.5
1404,3.7
1405,0.75
1406,3.61
1407,9.29
1408,9.94
1409,8.6
1410,7.73
1411,4.9
1412,5.58
1413,5.05
1414,3.66
1415,2.23
1416,4.2
1417,3.15
1418,6.12
1419,3.82
1420,9.06
1421,6.84
1422,4.55
1423,7.38
1424,-0.22
1425,0.48
1426,0
1427,8.05
1428,4.32
1429,8.19
1430,7.64
1431,6.31
1432,3.71
1433,3.6
1434,3.45
1435,10.21
1436,7.05
1437,9.92
1438,2.36
1439,9.23
1440,9.95
1441,10.585
1442,6.6
1443,3.92
1444,9.33
1445,8.02
1446,8.5
1447,4.82
1448,3.96
1449,3.58
1450,7.88
1451,7.03
1452,2
1453,9.97
1454,4
1455,6.2
1456,7.91
1457,9.35
1458,8.33
1459,11.94
1460,9.3
1461,9.15
1462,10.06
1463,10.63
1464,6.34
1465,7.95
1466,4.18
1467,8
1468,5.7
1469,7.94
1470,4.05
1471,10.96
1472,8.19
1473,8.99
1474,10.92
1475,10.98
1476,10.24
1477,10.67
1478,8.4
1479,10.63
1480,6.95
1481,2.13
1482,7.72
1483,8.4
1484,8.95
1485,10.075
1486,9.825
1487,10.16
1488,11.03
1489,9.695
1490,10.19
1491,7.71
1492,9.69
1493,9.9
1494,10.12
1495,10.76
1496,7.18
1497,6.16
1498,7
1499,10.6
1500,6.66
1501,10.68
1502,11.02
1503,10.03
1504,10.91
1505,10.78
1506,11.04
1507,9.91
1508,10.52
1509,10.6
1510,9.84
1511,10.2
1512,10.11
1513,9.36
1514,10.62
1515,8.88
1516,7.76
1517,8.37
1518,11.01
1519,7
1520,7.08
1521,6.8
1522,10.565
1523,9.19
1524,11.11
1525,10.3
1526,1
1527,5.1
1528,1.85
1529,1.48
1530,1.91
1531,2.76
1532,4.13
1533,2.4
1534,6.23
1535,6.81
1536,6.52
1537,2.49
1538,0.36
1539,2.07
1540,-0.3
1541,1.6
1542,3.95
1543,4.63
1544,3.73
1545,3.86
1546,3.4
1547,4.9
1548,0.41
1549,3.41
1550,2.4
1551,3.96
1552,2.64
1553,2.69
1554,2.58
1555,3.41
1556,2.96
1557,3.79
1558,3.57
1559,3.32
1560,2.25
1561,3.94
1562,3.4
1563,-0.68
1564,9.1
1565,1.03
1566,2.6
1567,6.59
1568,6.275
1569,0.65
1570,5.36
1571,2.42
1572,2.29
1573,2.6
1574,2.85
1575,9.19
1576,8.8
1577,2.21
1578,2.44
1579,2.62
1580,0.87
1581,0.78
1582,1.19
1583,3.1
1584,0.3
1585,1.91
1586,2.95
1587,4.56
1588,2.35
1589,-1.14
1590,-0.57
1591,4.3
1592,6.08
1593,6.15
1594,5.98
1595,4.6
1596,2.86
1597,4.32
1598,5.02
1599,4.61
1600,4.53
1601,4.31
1602,4.78
1603,8.43
1604,4.61
1605,3.2
1606,3.1
1607,6.3
1608,3.33
1609,4.89
1610,3.34
1611,5.54
1612,4.55
1613,5.41
1614,5
1615,-0.32
1616,9.77
1617,8.1
1618,5.1
1619,1.36
1620,5.97
1621,3.62
1622,4.46
1623,3.71
1624,3.58
1625,7.22
1626,7.48
1627,7.24
1628,3.99
1629,4.1
1630,4.11
1631,4.13
1632,9.44
1633,7.13
1634,12.5
1635,2.1
1636,3.65
1637,4.1
1638,5.03
1639,9.03
1640,10.7
1641,8.2
1642,10.13
1643,8.4
1644,7
1645,7.55
1646,3.04
1647,2.11
1648,1
1649,7.32
1650,8.7
1651,1.95
1652,3.25
1653,9.81
1654,5.1
1655,1.96
1656,2.04
1657,3.98
1658,4.93
1659,6.85
1660,9.14
1661,6.35
1662,3.96
1663,4.58
1664,4.76
1665,4.47
1666,11.13
1667,3.43
1668,-1
1669,3.59
1670,9.17
1671,4.03
1672,4.17
1673,5
1674,7.84
1675,9.68
1676,6.35
1677,2.7
1678,2.8
1679,4
1680,5.75
1681,7.62
1682,9.6
1683,8.35
1684,8.53
1685,0.9
1686,3.15
1687,6.74
1688,6.08
1689,9.82
1690,-7.58
1691,4.24
1692,4.2
1693,5.54
1694,7.27
1695,8.7
1696,9.07
1697,8.72
1698,9.92
1699,6.98
1700,8.79
1701,7.14
1702,8.2
1703,4.48
1704,7.35
1705,7.04
1706,2.8
1707,3
1708,8.13
1709,2.9
1710,8.49
1711,10.64
1712,11.74
1713,11.88
1714,11.04
1715,9.38
1716,10.62
1717,11.42
1718,9.43
1719,10.19
1720,7.05
1721,9.93
1722,5.88
1723,10.4
1724,9.62
1725,8.96
1726,9.7
1727,10.1
1728,10.02
1729,6.25
1730,8.3
1731,7.62
1732,7.1
1733,8.8
1734,8.28
1735,5.61
1736,5.52
1737,5.1
1738,6.7
1739,7
1740,10.78
1741,9.78
1742,10.6
1743,10.61
1744,11.22
1745,10.26
1746,10.96
1747,7.5
1748,9.78
1749,9.2
1750,9.5
1751,5.9
1752,9.49
1753,10.18
1754,9.35
1755,10.15
1756,8.6
1757,8.29
1758,8.31
1759,7.17
1760,6.91
1761,8.28
1762,10.98
1763,10.34
1764,10.975
1765,10.4
1766,11
1767,10.55
1768,10
1769,9.69
1770,8.7
1771,8.9
1772,8.7
1773,9.1
1774,7.3
1775,10.8
1776,4.33
1777,1.73
1778,4.86
1779,5.11
1780,2.5
1781,8.78
1782,11.05
1783,3.77
1784,0.13
1785,0.66
1786,0.42
1787,-3.92
1788,1.92
1789,1.38
1790,0.78
1791,0.7
1792,5.51
1793,4.48
1794,3.78
1795,2.83
1796,0.95
1797,5.69
1798,11.95
1799,3.73
1800,2.45
1801,-3.41
1802,4.87
1803,3.49
1804,1.04
1805,6.19
1806,7.02
1807,0.47
1808,-0.82
1809,-1.01
1810,2.87
1811,2.4
1812,8.19
1813,5.62
1814,4.87
1815,4.92
1816,5.15
1817,3.29
1818,4.355
1819,3.15
1820,7.49
1821,5
1822,1.12
1823,2.27
1824,3.3
1825,3.6
1826,3.32
1827,-0.46
1828,1.74
1829,3.38
1830,3.23
1831,3.89
1832,4.45
1833,5.8
1834,2.41
1835,4.87
1836,1.37
1837,3.14
1838,-3.2
1839,3.58
1840,4.09
1841,4.05
1842,2.22
1843,4.22
1844,2.56
1845,10.04
1846,2.45
1847,3.44
1848,11.8
1849,5.87
1850,4.44
1851,3.8
1852,2.4
1853,4.72
1854,4.34
1855,4.97
1856,3.02
1857,1.64
1858,1.97
1859,3.8
1860,8.59
1861,-0.28
1862,2.47
1863,3.96
1864,2.16
1865,2.51
1866,0.5
1867,10
1868,2.98
1869,5.94
1870,5.57
1871,5.98
1872,4.7
1873,6.4
1874,6.53
1875,6.15
1876,4.45
1877,6.85
1878,4.8
1879,9.36
1880,10.79
1881,4.8
1882,4.53
1883,3.87
1884,4.6
1885,5
1886,5.56
1887,4.24
1888,3.66
1889,4.29
1890,5.2
1891,6
1892,4.23
1893,4.51
1894,9.14
1895,9.06
1896,4.34
1897,5.38
1898,5.68
1899,8.6
1900,8.3
1901,3.1
1902,4.05
1903,4.4
1904,4.25
1905,9.65
1906,3.83
1907,4.39
1908,3.02
1909,9.04
1910,4.3
1911,4.54
1912,2.4
1913,4.46
1914,4.03
1915,4.62
1916,3.52
1917,7.12
1918,8.12
1919,5.32
1920,5.21
1921,5.09
1922,0.98
1923,0.69
1924,2.58
1925,4.25
1926,9.26
1927,9.22
1928,8.72
1929,1.58
1930,7.14
1931,0.86
1932,5.97
1933,5.16
1934,4.37
1935,5.2
1936,4.47
1937,4.94
1938,4.81
1939,3.84
1940,4.56
1941,6.02
1942,5.72
1943,5.83
1944,9.51
1945,9.37
1946,5.36
1947,4.94
1948,4.59
1949,5.1
1950,9.89
1951,7.11
1952,4.06
1953,4.62
1954,5
1955,3.86
1956,4.15
1957,5.25
1958,4.51
1959,4.4
1960,3.42
1961,4.6
1962,5.93
1963,5.57
1964,5.9
1965,4.09
1966,9.92
1967,8.94
1968,4.42
1969,8.7
1970,3.72
1971,8.89
1972,5.4
1973,8.89
1974,4.96
1975,5.57
1976,9.35
1977,3.49
1978,4.25
1979,4.73
1980,7.25
1981,7.85
1982,5.85
1983,7.33
1984,1.53
1985,2.77
1986,8.26
1987,7.455
1988,3.19
1989,10.59
1990,7.69
1991,4.55
1992,6.05
1993,8.2
1994,11.13
1995,9.44
1996,9.6
1997,8.2
1998,8.92
1999,9.48
2000,10.15
2001,1.61
2002,7.02
2003,11.5
2004,8.38
2005,6.1
2006,4.79
2007,9.66
2008,11.57
2009,9.24
2010,11.88
2011,11.44
2012,9.47
2013,11.29
2014,7.45
2015,6.19
2016,8.87
2017,10.92
2018,7.1
2019,10.87
2020,10.85
2021,10.56
2022,9.15
2023,8.06
2024,6.66
2025,10.24
2026,5.28
2027,5.02
2028,7.16
2029,9.29
2030,8.32
2031,8.6
2032,9.23
2033,8.54
2034,6.63
2035,10.36
2036,10.45
2037,10.68
2038,11.1
2039,10.21
2040,10.96
2041,10.48
2042,8.7
2043,9.83
2044,10.13
2045,9.97
2046,9.25
2047,8.3
2048,9.66
2049,10.37
2050,7.63
2051,8.31
2052,10.97
2053,8.32
2054,8.85
2055,10.76
2056,11.29
2057,10.99
2058,10.94
2059,10.77
2060,11.44
2061,10.59
2062,10.84
2063,10.4
2064,10.08
2065,8.9
2066,9.1
2067,8.68
2068,9.03
2069,7.05
2070,8.31
2071,8.55
2072,10.2
2073,10.74
2074,0.77
2075,0.18
2076,2.21
2077,3.47
2078,2.29
2079,0.64
2080,1.4
2081,3.12
2082,3.31
2083,2.72
2084,3.41
2085,10.01
2086,3.94
2087,1.92
2088,9.27
2089,9.1
2090,9.81
2091,12.01
2092,10.69
2093,-1.11
2094,2.95
2095,2.62
2096,3.29
2097,3.57
2098,2.7
2099,4.85
2100,2.81
2101,3.68
2102,6.84
2103,3.93
2104,3.66
2105,5.79
2106,3.31
2107,5.16
2108,-4.1
2109,2.9
2110,3.7
2111,6.18
2112,5.65
2113,0.51
2114,5.81
2115,6.3
2116,8.72
2117,4.4
2118,6.1
2119,3.75
2120,4.82
2121,8.61
2122,8.01
2123,7.36
2124,8.23
2125,2.93
2126,8.12
2127,2.15
2128,8.51
2129,18.34
2130,-5.19
2131,4.8
2132,6.47
2133,5.67
2134,8.98
2135,8.1
2136,4
2137,5.25
2138,8.5
2139,1.08
2140,1.23
2141,1.44
2142,2.27
2143,3.61
2144,2.31
2145,2.44
2146,3.55
2147,3.2
2148,4.1
2149,8.44
